,date,id,name,room_type_category,rate,latitude,longitude,daily_price,total_price
16,2024-08-20,1184263688152779746,Loft Atlântica em frente a praia,entire_home,"4,5 (4)",-22.963396019579452,-43.17299321684531,"R$127 por noite, originalmente R$209",Total de R$277
17,2024-08-20,1162632127795605756,Praia de Copacabana+3Ar+Lavanderia+500Wifi,entire_home,"4,6 (5)",-22.97247,-43.18471,"R$129 por noite, originalmente R$174",Total de R$378
18,2024-08-20,974496516756945266,Excelente apartamento na Lapa RJ,entire_home,"4,94 (32)",-22.91399,-43.19024,"R$126 por noite, originalmente R$143",Total de R$221
19,2024-08-20,555809838939627139,Quarto em Ipanema para 2 pessoa cama de casal,entire_home,"4,5 (8)",-22.98592907747361,-43.19400861418393,"R$127 por noite, originalmente R$164",Total de R$257
20,2024-08-20,975410445228556227,Loft em Copacabana 2,entire_home,"4,81 (26)",-22.96424,-43.18917,"R$125 por noite, originalmente R$167",Total de R$305
21,2024-08-20,48213254,Excelente 2 quartos Santa Teresa/Bairro de Fátima,entire_home,"4,87 (141)",-22.91905,-43.1866,"R$127 por noite, originalmente R$229",Total de R$237
22,2024-08-20,1135655821123459825,Casa de fundos com varanda,entire_home,,-22.879175016842588,-43.31100718501695,R$125 por noite,Total de R$205
23,2024-08-20,983571126365784522,SuhcasaCopacabana 35 Studio Cozy,entire_home,"4,72 (39)",-22.972699,-43.1913971,"R$131 por noite, originalmente R$199",Total de R$211
24,2024-08-20,1201532227555531164,Studio aconchegante Centro Rio,entire_home,Novo,-22.9001411,-43.1799214,"R$133 por noite, originalmente R$176",Total de R$252
25,2024-08-20,1215977639690562811,Studio confortável CasaMauá CentroRj,entire_home,Novo,-22.9001411,-43.1799214,R$132 por noite,Total de R$262
26,2024-08-20,1028410216681058561,Casa do Artesão,entire_home,"5,0 (10)",-22.94386857719083,-43.26066767761335,R$131 por noite,Total de R$131
27,2024-08-20,1226558365325401417,Praia na copa.,entire_home,Novo,-22.963928261209702,-43.17685893055325,R$131 por noite,Total de R$261
28,2024-08-20,1195763089040425348,Centro 805,entire_home,"4,4 (5)",-22.91264,-43.18549,R$131 por noite,Total de R$211
29,2024-08-20,1223947351521395936,Conjugado reformado na Lapa,entire_home,Novo,-22.91533,-43.19058,"R$130 por noite, originalmente R$155",Total de R$260
30,2024-08-20,582061682557780725,Apartamento encantador próximo ao hospital Icaraí.,entire_home,"4,71 (48)",-22.895465292195457,-43.113270476460464,"R$130 por noite, originalmente R$148",Total de R$229
31,2024-08-20,1028519340299475744,Casa Amarela,entire_home,"5,0 (3)",-22.9438593,-43.2609434,R$131 por noite,Total de R$131
32,2024-08-20,1110308810634133329,Studio Niterói-Barcas 604,entire_home,"4,73 (22)",-22.893460764308045,-43.12302902340889,R$149 por noite,Total de R$168
33,2024-08-20,1010477261133644076,Apt studio ótima localização,entire_home,"4,41 (29)",-22.89748,-43.2517,R$151 por noite,Total de R$251
34,2024-08-20,791388039417397404,Estúdio mais bonito da praia de Botafogo,entire_home,"4,76 (46)",-22.948767845376082,-43.181387145502946,R$150 por noite,Total de R$435
35,2024-08-20,639903115578075514,"STUDIO APARTAMENTO NOVO coração da lapa, aconchego",entire_home,"4,85 (71)",-22.914831395462166,-43.177503012120724,"R$148 por noite, originalmente R$168",Total de R$307
36,2024-08-20,1196965222533919632,Cantinho aconchegante na Lapa,entire_home,Novo,-22.91470045871504,-43.186911195516586,R$147 por noite,Total de R$297
37,2024-08-20,1054145882414827679,Apartamento Flat no Centro Metrô,entire_home,"4,33 (3)",-22.911658071605796,-43.177455962055596,R$148 por noite,Total de R$148
